Tph_over_Te,P_over_P_Te_0,fifth_power_reference
0.0,1.0,1.0
0.01414141414141414,0.9999999994344589,0.9999999994344588
0.02828282828282828,0.9999999819026835,0.9999999819026835
0.04242424242424242,0.9999998625735023,0.9999998625735022
0.05656565656565656,0.9999994208858694,0.9999994208858694
0.0707070707070707,0.9999982326839276,0.9999982326839275
0.08484848484848484,0.9999956023520705,0.9999956023520704
0.09898989898989899,0.9999904949500061,0.9999904949500061
0.11313131313131312,0.9999814683478194,0.9999814683478193
0.12727272727272726,0.9999666053610349,0.9999666053610347
0.1414141414141414,0.9999434458856791,0.9999434458856792
0.15555555555555556,0.9999089190333453,0.9999089190333452
0.16969696969696968,0.9998592752662534,0.9998592752662533
0.18383838383838383,0.9997900185323149,0.9997900185323149
0.19797979797979798,0.9996958384001954,0.9996958384001953
0.2121212121212121,0.9995705421943765,0.9995705421943764
0.22626262626262625,0.9994069871302195,0.9994069871302194
0.2404040404040404,0.9991970124490281,0.9991970124490279
0.2545454545454545,0.9989313715531107,0.9989313715531105
0.2686868686868687,0.9985996641408437,0.9985996641408434
0.2828282828282828,0.9981902683417344,0.998190268341734
0.29696969696969694,0.9976902728514829,0.9976902728514826
0.3111111111111111,0.9970854090670466,0.997085409067046
0.32525252525252524,0.9963599832217007,0.9963599832217004
0.33939393939393936,0.9954968085201039,0.9954968085201036
0.35353535353535354,0.9944771372733588,0.9944771372733582
0.36767676767676766,0.9932805930340752,0.9932805930340743
0.3818181818181818,0.9918851027314337,0.9918851027314329
0.39595959595959596,0.9902668288062483,0.9902668288062474
0.4101010101010101,0.9884001013460288,0.9884001013460277
0.4242424242424242,0.9862573502200437,0.9862573502200425
0.4383838383838384,0.9838090372143833,0.983809037214382
0.4525252525252525,0.9810235881670221,0.9810235881670206
0.4666666666666666,0.977867325102882,0.9778673251028807
0.4808080808080808,0.9743043983688958,0.974304398368894
0.4949494949494949,0.9702967187690676,0.9702967187690656
0.509090909090909,0.9658038896995382,0.9658038896995362
0.5232323232323232,0.9607831392836469,0.9607831392836448
0.5373737373737374,0.9551892525069944,0.9551892525069919
0.5515151515151515,0.9489745033525048,0.9489745033525024
0.5656565656565656,0.9420885869354902,0.9420885869354878
0.5797979797979798,0.9344785516387122,0.9344785516387094
0.5939393939393939,0.9260887312474443,0.9260887312474415
0.608080808080808,0.9168606770845363,0.9168606770845332
0.6222222222222222,0.9067330901454757,0.9067330901454724
0.6363636363636364,0.8956417532334512,0.8956417532334477
0.6505050505050505,0.8835194630944155,0.883519463094412
0.6646464646464646,0.8702959625521478,0.870295962552144
0.6787878787878787,0.8558978726433168,0.855897872643313
0.6929292929292928,0.8402486247525438,0.8402486247525397
0.7070707070707071,0.8232683927474642,0.8232683927474602
0.7212121212121212,0.8048740251137931,0.8048740251137889
0.7353535353535353,0.7849789770903848,0.7849789770903807
0.7494949494949494,0.7634932428042979,0.7634932428042938
0.7636363636363636,0.7403232874058572,0.740323287405853
0.7777777777777777,0.7153719792037168,0.7153719792037123
0.7919191919191919,0.6885385217999221,0.6885385217999178
0.806060606060606,0.6597183862249744,0.6597183862249704
0.8202020202020202,0.6288032430728927,0.6288032430728885
0.8343434343434343,0.5956808946362754,0.5956808946362712
0.8484848484848484,0.5602352070413642,0.5602352070413605
0.8626262626262625,0.5223460423831086,0.5223460423831048
0.8767676767676768,0.48188919086022447,0.48188919086022086
0.8909090909090909,0.4387363029102617,0.43873630291025834
0.905050505050505,0.3927548213446632,0.39275482134466044
0.9191919191919191,0.34380791348383033,0.3438079134838278
0.9333333333333332,0.29175440329218383,0.2917544032921814
0.9474747474747475,0.2364487035132269,0.2364487035132249
0.9616161616161616,0.1777407478046105,0.1777407478046087
0.9757575757575757,0.11547592287319156,0.11547592287319075
0.9898989898989898,0.04949500061010126,0.049495000610100814
1.004040404040404,-0.02036592977419776,-0.0203659297741976
1.018181818181818,-0.09427552961484305,-0.09427552961484187
1.0323232323232323,-0.1724072786575153,-0.17240727865751349
1.0464646464646463,-0.25493954292336823,-0.25493954292336607
1.0606060606060606,-0.3420556425739764,-0.3420556425739736
1.0747474747474748,-0.43394391977626084,-0.4339439197762569
1.0888888888888888,-0.5307978065674315,-0.5307978065674264
1.103030303030303,-0.6328158927199284,-0.6328158927199223
1.117171717171717,-0.740201993606349,-0.7402019936063424
1.1313131313131313,-0.8531652180643987,-0.8531652180643912
1.1454545454545453,-0.9719200362618131,-0.9719200362618037
1.1595959595959595,-1.0966863475613087,-1.0966863475612976
1.1737373737373737,-1.227689548385509,-1.2276895483854968
1.1878787878787878,-1.3651606000818874,-1.3651606000818735
1.202020202020202,-1.509336096787709,-1.5093360967876932
1.216161616161616,-1.6604583332949525,-1.6604583332949363
1.2303030303030302,-1.8187753729152705,-1.8187753729152525
1.2444444444444445,-1.9845411153449035,-1.984541115344883
1.2585858585858585,-2.1580153645296263,-2.158015364529604
1.2727272727272727,-2.3394638965296948,-2.3394638965296704
1.2868686868686867,-2.5291585273847628,-2.5291585273847375
1.301010101010101,-2.727377180978845,-2.727377180978818
1.315151515151515,-2.934403956905226,-2.9344039569051956
1.3292929292929292,-3.150529198331422,-3.1505291983313892
1.3434343434343434,-3.3760495598641,-3.3760495598640645
1.3575757575757574,-3.6112680754140203,-3.6112680754139843
1.3717171717171717,-3.8564942260609913,-3.8564942260609527
1.3858585858585857,-4.112044007918772,-4.11204400791873
1.4,-4.378240000000045,-4.378239999999998
